Transaction_ID,Transaction
Trans1,"Microsoft Office, Speakers, Desk Top, Anti-Virus, Flash Drive, Lab Top"
Trans2,"Speakers, Lab Top Case, Digital Camera, Anti-Virus, Lab Top, Printer"
Trans3,"Lab Top, Speakers, External Hard-Drive, Desk Top"
Trans4,"Printer, Digital Camera, Microsoft Office, Lab Top"
Trans5,"Lab Top, Lab Top Case"
Trans6,"Desk Top, External Hard-Drive, Flash Drive, Lab Top, Digital Camera"
Trans7,"Digital Camera, Speakers, Microsoft Office, Lab Top"
Trans8,"Digital Camera, Desk Top"
Trans9,"Flash Drive, Microsoft Office, Lab Top Case"
Trans10,"Flash Drive, Speakers"
Trans11,"Digital Camera, Lab Top, Lab Top Case"
Trans12,"Printer, Digital Camera"
Trans13,"Microsoft Office, Anti-Virus, Lab Top, Flash Drive, Digital Camera, External Hard-Drive"
Trans14,"Lab Top, Printer, Microsoft Office, Flash Drive"
Trans15,"Flash Drive, Lab Top Case, Lab Top, Speakers, Microsoft Office, Printer"
Trans16,"Lab Top, Flash Drive, External Hard-Drive, Lab Top Case, Speakers, Microsoft Office"
Trans17,"Desk Top, Printer"
Trans18,"Lab Top Case, Anti-Virus, Flash Drive, Desk Top"
Trans19,"Lab Top Case, Speakers, Digital Camera"
Trans20,"Anti-Virus, Lab Top Case, External Hard-Drive, Flash Drive, Microsoft Office"
Trans21,"Lab Top, Printer, Desk Top"
Trans22,"Lab Top, Printer"
Trans23,"Lab Top, Anti-Virus"
Trans24,"Lab Top Case, Desk Top, External Hard-Drive, Speakers, Printer"
Trans25,"Anti-Virus, Lab Top, Desk Top"
