Transaction_ID,Transaction
Trans1,"A Beginner's Guide, Head First Java 2nd Edition, Effective Java (2nd Edition), Android Programming: The Big Nerd Ranch, Java: The Complete Reference, HTML and CSS: Design and Build Websites"
Trans2,"Java For Dummies, Java 8 Pocket Guide, C++ Programming in Easy Steps, Beginning Programming with Java, Java: The Complete Reference"
Trans3,"Android Programming: The Big Nerd Ranch, A Beginner's Guide, HTML and CSS: Design and Build Websites, Effective Java (2nd Edition)"
Trans4,"Java For Dummies, Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide, A Beginner's Guide, Java: The Complete Reference"
Trans5,"HTML and CSS: Design and Build Websites, Beginning Programming with Java, C++ Programming in Easy Steps"
Trans6,"Beginning Programming with Java, Java 8 Pocket Guide, Java: The Complete Reference, C++ Programming in Easy Steps"
Trans7,"A Beginner's Guide, C++ Programming in Easy Steps, Head First Java 2nd Edition, Java: The Complete Reference"
Trans8,"Beginning Programming with Java, HTML and CSS: Design and Build Websites, Effective Java (2nd Edition), Android Programming: The Big Nerd Ranch, C++ Programming in Easy Steps"
Trans9,"Head First Java 2nd Edition, C++ Programming in Easy Steps"
Trans10,"Java: The Complete Reference, Effective Java (2nd Edition)"
Trans11,"Java 8 Pocket Guide, C++ Programming in Easy Steps, Java: The Complete Reference, Effective Java (2nd Edition)"
Trans12,"Java: The Complete Reference, C++ Programming in Easy Steps, Head First Java 2nd Edition, A Beginner's Guide"
Trans13,"C++ Programming in Easy Steps, Beginning Programming with Java"
Trans14,"Java 8 Pocket Guide, Effective Java (2nd Edition)"
Trans15,"Java: The Complete Reference, Java 8 Pocket Guide"
Trans16,"Effective Java (2nd Edition), C++ Programming in Easy Steps, Java For Dummies, A Beginner's Guide, Java 8 Pocket Guide"
Trans17,"Head First Java 2nd Edition, Android Programming: The Big Nerd Ranch, A Beginner's Guide, Beginning Programming with Java, Java: The Complete Reference"
Trans18,"Java: The Complete Reference, Java For Dummies, Effective Java (2nd Edition), C++ Programming in Easy Steps, Java 8 Pocket Guide"
Trans19,"Effective Java (2nd Edition), A Beginner's Guide, HTML and CSS: Design and Build Websites, Java 8 Pocket Guide"
Trans20,"Effective Java (2nd Edition), Beginning Programming with Java, Java: The Complete Reference, A Beginner's Guide, Android Programming: The Big Nerd Ranch, Java For Dummies"
Trans21,"Effective Java (2nd Edition), Android Programming: The Big Nerd Ranch"
Trans22,"Beginning Programming with Java, Head First Java 2nd Edition"
Trans23,"Head First Java 2nd Edition, Effective Java (2nd Edition)"
Trans24,"Android Programming: The Big Nerd Ranch, Java 8 Pocket Guide, A Beginner's Guide, Head First Java 2nd Edition"
Trans25,"HTML and CSS: Design and Build Websites, Android Programming: The Big Nerd Ranch, Java 8 Pocket Guide, Java For Dummies, A Beginner's Guide"
