Transaction_ID,Transaction
Trans1,"Shampoo, Mouthwash, Conditioner, Body Wash"
Trans2,"Conditioner, Shampoo, Soap, Mouthwash, Lotion"
Trans3,"Mouthwash, Body Wash, Soap, Conditioner, Deodorant"
Trans4,"Body Wash, Shampoo, Face Wash, Mouthwash"
Trans5,"Body Wash, Toothpaste, Mouthwash, Shampoo, Soap"
Trans6,"Mouthwash, Soap, Shampoo, Face Wash, Lotion, Conditioner"
Trans7,"Hand Sanitizer, Body Wash, Conditioner, Toothpaste, Shampoo"
Trans8,"Face Wash, Body Wash, Conditioner, Shampoo, Lotion, Mouthwash"
Trans9,"Soap, Toothpaste, Conditioner"
Trans10,"Hand Sanitizer, Shampoo, Lotion"
Trans11,"Deodorant, Conditioner, Shampoo"
Trans12,"Toothpaste, Face Wash, Mouthwash, Body Wash, Deodorant, Hand Sanitizer"
Trans13,"Face Wash, Soap, Lotion, Mouthwash, Body Wash"
Trans14,"Toothpaste, Shampoo, Lotion, Body Wash, Deodorant"
Trans15,"Soap, Hand Sanitizer"
Trans16,"Face Wash, Body Wash, Lotion, Conditioner"
Trans17,"Soap, Mouthwash, Deodorant, Hand Sanitizer, Toothpaste, Shampoo"
Trans18,"Shampoo, Toothpaste, Body Wash"
Trans19,"Shampoo, Soap, Lotion"
Trans20,"Lotion, Conditioner"
Trans21,"Hand Sanitizer, Soap, Conditioner, Face Wash"
Trans22,"Mouthwash, Hand Sanitizer, Toothpaste"
Trans23,"Toothpaste, Shampoo"
Trans24,"Toothpaste, Conditioner, Soap"
Trans25,"Lotion, Face Wash, Shampoo, Body Wash"
